position	name	type	varlab
236	sIVq67_bunker_impreg	byte	Q67 - Bunker - Process in Production that Use Fuel - Impregnation
237	sIVq67_bunker_machinj	byte	Q67 - Bunker - Process in Production that Use Fuel - Machine Injection or Moldin
238	sIVq67_bunker_melt	byte	Q67 - Bunker - Process in Production that Use Fuel - Melting or Pre-melting
239	sIVq67_bunker_metal	byte	Q67 - Bunker - Process in Production that Use Fuel - Metal Treatment or Pre-trea
240	sIVq67_bunker_paint	byte	Q67 - Bunker - Process in Production that Use Fuel - Painting
241	sIVq67_bunker_smelt	byte	Q67 - Bunker - Process in Production that Use Fuel - Smelting
242	sIVq67_bunker_steel	byte	Q67 - Bunker - Process in Production that Use Fuel - Steel Cutting
243	sIVq67_bunker_thermoxi	byte	Q67 - Bunker - Process in Production that Use Fuel - Thermal Oxidaation
244	sIVq67_bunker_transpo	byte	Q67 - Bunker - Process in Production that Use Fuel - Transportation and Logistic
245	sIVq67_bunker_weld	byte	Q67 - Bunker - Process in Production that Use Fuel - Welding
246	sIVq67_bunker_stamp	byte	Q67 - Bunker - Process in Production that Use Fuel - Stamping
247	sIVq67_bunker_aircomp	byte	Q67 - Bunker - Process in Production that Use Fuel - Air Compression / Vacuuming
248	sIVq67_bunker_other	byte	Q67 - Bunker - Process in Production that Use Fuel - Others
249	sIVq68_bunker_cons_lit_airgas	byte	Q68 - Bunker - Consumption per Process in Liters per Day - Air/Gas Mixing
250	sIVq68_bunker_cons_lit_baking	byte	Q68 - Bunker - Consumption per Process in Liters per Day - Baking
251	sIVq68_bunker_cons_lit_boiler	byte	Q68 - Bunker - Consumption per Process in Liters per Day - Boiler Operation
252	sIVq68_bunker_cons_lit_burn	byte	Q68 - Bunker - Consumption per Process in Liters per Day - Burning
253	sIVq68_bunker_cons_lit_curing	byte	Q68 - Bunker - Consumption per Process in Liters per Day - Curing
254	sIVq68_bunker_cons_lit_diecast	byte	Q68 - Bunker - Consumption per Process in Liters per Day - Die Casting or Wire B
255	sIVq68_bunker_cons_lit_dry	byte	Q68 - Bunker - Consumption per Process in Liters per Day - Drying or Annealing
256	sIVq68_bunker_cons_lit_engload	byte	Q68 - Bunker - Consumption per Process in Liters per Day - Engine Loading or Pre
257	sIVq68_bunker_cons_lit_fabri	byte	Q68 - Bunker - Consumption per Process in Liters per Day - Fabrication
258	sIVq68_bunker_cons_lit_fork	byte	Q68 - Bunker - Consumption per Process in Liters per Day - Forklift Operation
259	sIVq68_bunker_cons_lit_heat	byte	Q68 - Bunker - Consumption per Process in Liters per Day - Heat Treatment
260	sIVq68_bunker_cons_lit_ice	byte	Q68 - Bunker - Consumption per Process in Liters per Day - Ice Making
261	sIVq68_bunker_cons_lit_impreg	byte	Q68 - Bunker - Consumption per Process in Liters per Day - Impregnation
262	sIVq68_bunker_cons_lit_machinj	byte	Q68 - Bunker - Consumption per Process in Liters per Day - Machine Injection or
263	sIVq68_bunker_cons_lit_melt	byte	Q68 - Bunker - Consumption per Process in Liters per Day - Melting or Pre-meltin
264	sIVq68_bunker_cons_lit_metal	byte	Q68 - Bunker - Consumption per Process in Liters per Day - Metal Treatment or Pr
265	sIVq68_bunker_cons_lit_paint	byte	Q68 - Bunker - Consumption per Process in Liters per Day - Painting
266	sIVq68_bunker_cons_lit_smelt	byte	Q68 - Bunker - Consumption per Process in Liters per Day - Smelting
267	sIVq68_bunker_cons_lit_weld	byte	Q68 - Bunker - Consumption per Process in Liters per Day - Welding
268	sIVq68_bunker_cons_lit_stamp	byte	Q68 - Bunker - Consumption per Process in Liters per Day - Stamping
269	sIVq68_bunker_cons_lit_aircomp	byte	Q68 - Bunker - Consumption per Process in Liters per Day - Air Compression / Vac
270	sIVq68_bunker_cons_lit_steel	byte	Q68 - Bunker - Consumption per Process in Liters per Day - Steel Cutting
271	sIVq68_bunker_cons_lit_thermoxi	byte	Q68 - Bunker - Consumption per Process in Liters per Day - Thermal Oxidaation
272	sIVq68_bunker_cons_lit_transpo	byte	Q68 - Bunker - Consumption per Process in Liters per Day - Transportation and Lo
273	sIVq68_bunker_cons_lit_other	byte	Q68 - Bunker - Consumption per Process in Liters per Day - Others
274	sIVq69_bunker_exp_php_airgas	byte	Q69 - Bunker - Expenditure per Process in Pesos per Month - Air/Gas Mixing
275	sIVq69_bunker_exp_php_baking	byte	Q69 - Bunker - Expenditure per Process in Pesos per Month - Baking
276	sIVq69_bunker_exp_php_boiler	byte	Q69 - Bunker - Expenditure per Process in Pesos per Month - Boiler Operation
277	sIVq69_bunker_exp_php_burn	byte	Q69 - Bunker - Expenditure per Process in Pesos per Month - Burning
278	sIVq69_bunker_exp_php_curing	byte	Q69 - Bunker - Expenditure per Process in Pesos per Month - Curing
279	sIVq69_bunker_exp_php_diecast	byte	Q69 - Bunker - Expenditure per Process in Pesos per Month - Die Casting or Wire
280	sIVq69_bunker_exp_php_dry	byte	Q69 - Bunker - Expenditure per Process in Pesos per Month - Drying or Annealing
281	sIVq69_bunker_exp_php_engload	byte	Q69 - Bunker - Expenditure per Process in Pesos per Month - Engine Loading or Pr
282	sIVq69_bunker_exp_php_fabri	byte	Q69 - Bunker - Expenditure per Process in Pesos per Month - Fabrication
283	sIVq69_bunker_exp_php_fork	byte	Q69 - Bunker - Expenditure per Process in Pesos per Month - Forklift Operation
284	sIVq69_bunker_exp_php_heat	byte	Q69 - Bunker - Expenditure per Process in Pesos per Month - Heat Treatment
